
2024/07/13 (01:44:33) | ===> btop++ v.1.3.2
2024/07/13 (01:44:33) | INFO: Logger set to INFO

2024/07/17 (03:11:02) | ===> btop++ v.1.3.2
2024/07/17 (03:11:02) | ERROR: Stall in Runner thread, restarting!
2024/07/17 (03:12:11) | ERROR: Stall in Runner thread, restarting!
2024/07/17 (03:12:22) | ERROR: Stall in Runner thread, restarting!
2024/07/17 (03:13:26) | ERROR: Stall in Runner thread, restarting!
2024/07/17 (03:13:58) | ERROR: Stall in Runner thread, restarting!
2024/07/17 (03:14:05) | ERROR: Stall in Runner thread, restarting!
2024/07/17 (03:14:17) | ERROR: Stall in Runner thread, restarting!
2024/07/17 (03:14:24) | ERROR: Stall in Runner thread, restarting!
2024/07/17 (03:15:01) | ERROR: Stall in Runner thread, restarting!
2024/07/17 (03:15:12) | ERROR: Stall in Runner thread, restarting!
2024/07/17 (03:15:22) | ERROR: Stall in Runner thread, restarting!
2024/07/17 (03:20:16) | ERROR: Stall in Runner thread, restarting!
